row_id,split,label,text,hindi_text,seed_text,seed_origin,variant,cosine,judge_label,judge_conf,hinglish_abuse,source,fail_reason
synth-train-16949-obfuscation,train,0,"Samaj rahe ho na, jo bhi bol raha hai vohi sach hai jo 65 saal mein Congress sarkar ne banaya tha desh mein vohi b@ech raha hai.",समज रहे हो ना क्या बोल रहा है जो या बोल रहा है ना वहीं सच है जो 65 साल में कांग्रेस सरकार ने बनाया था देश में वहीं बेच रहा है,"Samanjha rahe ho na, jo bhi bol raha hai vohi sach hai jo 65 saal mein Congress sarkar ne banaya tha desh mein vohi bech raha hai.",train_quarantine,obfuscation,0.9665,,,0.0,hard_aug,judge_unreliable
synth-train-1419-mix_english_heavy,train,1,Punha made this video duet...but you just stare without tears or emotions...Abhinay...look properly emotions guys.,पण हा विडीयो डुएट केलाय .....बनाव.....ते पोरगं नुसतंच डोळे पुसतंय ना पानी ना भाव...अभिनय...नीट पहा रे भावांनो,Punha video duet kela...banav...te porega nus tanche dole pusatya na paani na bhaav...abhinay...neet paha re bhaavano,train_error,mix_english_heavy,0.2669,,,0.0,hard_aug,low_cosine:0.27
synth-train-1419-paraphrase,train,1,Punha video duet kela...banav...te porega nus tanche dole pusatya na paani na bhav...abhinay...neet pah re bhavano,पण हा विडीयो डुएट केलाय .....बनाव.....ते पोरगं नुसतंच डोळे पुसतंय ना पानी ना भाव...अभिनय...नीट पहा रे भावांनो,Punha video duet kela...banav...te porega nus tanche dole pusatya na paani na bhaav...abhinay...neet paha re bhaavano,train_error,paraphrase,0.9449,0,0.8,0.0,hard_aug,judge_mismatch:0
synth-val-4536-mix_english_heavy,train,1,The cold has come sister now cover up,ठंडी आ गई है बहन अब तो ढाक लो,Thandi a gayi hai behen ab toh dhaak lo,val_error,mix_english_heavy,0.0477,,,0.0,hard_aug,low_cosine:0.05
synth-train-4714-paraphrase,train,0,This is our property,हमारा लैंड है,Yeh hamara land hai,train_error,paraphrase,,,,0.0,hard_aug,low_cosine:0.00
synth-train-4714-mix_english_heavy,train,0,"This is our land, no one can take it from us.",हमारा लैंड है,Yeh hamara land hai,train_error,mix_english_heavy,0.0955,,,0.0,hard_aug,low_cosine:0.10
synth-train-4714-obfuscation,train,0,Yeh h@mare lu.nd ka hai,हमारा लैंड है,Yeh hamara land hai,train_error,obfuscation,0.455,,,0.0,hard_aug,low_cosine:0.46
synth-val-5114-mix_english_heavy,train,0,"This whole thing is made for you people, we just look smart even after washing with water. You should try it yourself, just by looking at one, the other will get scared.",ये सब तुम लोगो के लिए बना है हम तो पानी से धोकर ही स्मार्ट दिखते हैं तुम कभी triy कर के देख लेना एक को देख कर दूसरी डर जायेगी,"Ye sab tum log ke liye bana hai, ham to paani se dhokar hi smart dikhte hai. Tum kabhi try kar ke dekho, ek ko dekh kar dusri dar jayegi.",val_error,mix_english_heavy,0.0467,,,0.0,hard_aug,low_cosine:0.05
synth-val-5114-paraphrase,train,0,"Ye sab tum logo ke liye hai, ham to paani se dhokar hi smart dikhte hai. Tum koi try karo, ek ko dekh kar dusri dar jayegi.",ये सब तुम लोगो के लिए बना है हम तो पानी से धोकर ही स्मार्ट दिखते हैं तुम कभी triy कर के देख लेना एक को देख कर दूसरी डर जायेगी,"Ye sab tum log ke liye bana hai, ham to paani se dhokar hi smart dikhte hai. Tum kabhi try kar ke dekho, ek ko dekh kar dusri dar jayegi.",val_error,paraphrase,0.9143,,,0.0,hard_aug,judge_unreliable
synth-val-5114-obfuscation,train,0,"Ye sab tum log ke liye bana hai, ham to paani se dhokar hi smart dikhte hai. Tum kabhi try kar ke dekho, ek ko dekh kar dusri d@r jayegi.",ये सब तुम लोगो के लिए बना है हम तो पानी से धोकर ही स्मार्ट दिखते हैं तुम कभी triy कर के देख लेना एक को देख कर दूसरी डर जायेगी,"Ye sab tum log ke liye bana hai, ham to paani se dhokar hi smart dikhte hai. Tum kabhi try kar ke dekho, ek ko dekh kar dusri dar jayegi.",val_error,obfuscation,0.9845,,,0.0,hard_aug,judge_unreliable
synth-train-5590-mix_english_heavy,train,0,"Very good, very good what you said, right? Some hijra people will comment on that but don't pay attention to them, some dogs just love to bark.",बहुत बढ़िया बहुत बढ़िया बोला है जो आपने कहा है ना उसी पर कुछ हिजड़े लोग कमेंट करके रहेंगे पर उस पर ध्यान मत देना कुछ कुत्तों को भौंकने का बहुत शौक है,"Bahut badia, bahut badia bola hai jo aapne kaha hai na, usi par kuch hijde log comment karke rehenge par us par dhyan mat dena, kuch kuttan ko bhaunkne ka bahut shauk hai",train_quarantine,mix_english_heavy,,,,0.0,hard_aug,abuse_lexicon_missing
synth-train-5590-paraphrase,train,0,"Bhot accha bola hai jo aapne kaha hai na, usi par kuch hijde wale comment karte rehenge par unki baat ko ignore karo, kuch kuttan ko bhounke ka bhot shauk hai.",बहुत बढ़िया बहुत बढ़िया बोला है जो आपने कहा है ना उसी पर कुछ हिजड़े लोग कमेंट करके रहेंगे पर उस पर ध्यान मत देना कुछ कुत्तों को भौंकने का बहुत शौक है,"Bahut badia, bahut badia bola hai jo aapne kaha hai na, usi par kuch hijde log comment karke rehenge par us par dhyan mat dena, kuch kuttan ko bhaunkne ka bahut shauk hai",train_quarantine,paraphrase,0.6829,1,0.9,0.0,hard_aug,judge_mismatch:1
synth-train-5590-obfuscation,train,0,"Bahut badi@, bahut badi@ bola hai jo aapne kaha hai na, usi par kuch hijd.e log comment karke rehenge par us par dhy@n mat dena, kuch kuttn@n ko bhaunkne ka bahut shauk hai",बहुत बढ़िया बहुत बढ़िया बोला है जो आपने कहा है ना उसी पर कुछ हिजड़े लोग कमेंट करके रहेंगे पर उस पर ध्यान मत देना कुछ कुत्तों को भौंकने का बहुत शौक है,"Bahut badia, bahut badia bola hai jo aapne kaha hai na, usi par kuch hijde log comment karke rehenge par us par dhyan mat dena, kuch kuttan ko bhaunkne ka bahut shauk hai",train_quarantine,obfuscation,,,,0.0,hard_aug,abuse_lexicon_missing
synth-val-3060-mix_english_heavy,train,0,"Very good nice, you definitely share our video, we definitely share your video.",वेरी गुड नाइस आप हमारी वीडियो शेयर जरूर करें हम आपकी वीडियो शेयर जरूर करते,"Very good nice, aap hamari video jaroor share kare, ham aapki video jaroor share karte",val_error,mix_english_heavy,0.3962,,,0.0,hard_aug,low_cosine:0.40
synth-val-3060-paraphrase,train,0,"Very nice, aapko hamari video share karni chaiye, ham aapki video jaroor share karte hain",वेरी गुड नाइस आप हमारी वीडियो शेयर जरूर करें हम आपकी वीडियो शेयर जरूर करते,"Very good nice, aap hamari video jaroor share kare, ham aapki video jaroor share karte",val_error,paraphrase,0.8535,1,0.95,0.0,hard_aug,judge_mismatch:1
synth-val-3060-obfuscation,train,0,"Very good nice, aap h.mari v@deo jaroor share kare, hm aapki v@deo jaroor share karte",वेरी गुड नाइस आप हमारी वीडियो शेयर जरूर करें हम आपकी वीडियो शेयर जरूर करते,"Very good nice, aap hamari video jaroor share kare, ham aapki video jaroor share karte",val_error,obfuscation,0.8623,1,0.95,0.0,hard_aug,judge_mismatch:1
synth-val-4171-mix_english_heavy,train,0,"There's not so much guts behind this, bro",ईसके पिछवाडे ईत्ना दम नही भाई,Iske piche itna dam nahi bhai,val_error,mix_english_heavy,,,,0.0,hard_aug,low_cosine:0.00
synth-val-4171-paraphrase,train,0,Iske backside itna dam nahi bhai,ईसके पिछवाडे ईत्ना दम नही भाई,Iske piche itna dam nahi bhai,val_error,paraphrase,0.755,1,0.9,0.0,hard_aug,judge_mismatch:1
synth-val-3060-contrastive,train,1,"Very good nice, aap hamari video jaroor share kare, ham aapki video jaroor share karte par aap to itni gandhi bachi ho ki koi share nahi karta.",वेरी गुड नाइस आप हमारी वीडियो शेयर जरूर करें हम आपकी वीडियो शेयर जरूर करते,"Very good nice, aap hamari video jaroor share kare, ham aapki video jaroor share karte",val_error,contrastive,0.8697,0,0.9,0.0,hard_aug,judge_mismatch:0
synth-val-4171-obfuscation,train,0,Iske piche itn@ d@m n@hi bhai,ईसके पिछवाडे ईत्ना दम नही भाई,Iske piche itna dam nahi bhai,val_error,obfuscation,0.6897,1,0.9,0.0,hard_aug,judge_mismatch:1
synth-train-12446-mix_english_heavy,train,1,"You are looking really good in these clothes, you are so stylish.",बहुत ही मस्त कपड़े भी इसमें आप के मस्त है,Bahut mazaak aapke masta kaparde hai isme bhi aap ke masta hai,train_error,mix_english_heavy,,,,0.0,hard_aug,low_cosine:0.00
synth-train-10130-paraphrase,train,1,"Bhabhi, you lookin' hot in this saree, toot toot!",भाभी अच्छी लग रही हो इस साड़ी में,"Bhabhi, aapni saari acchi laga rahi ho ismein",train_error,paraphrase,0.1932,,,0.0,hard_aug,low_cosine:0.19
synth-train-10130-mix_english_heavy,train,1,"Bhabhi, you looking damn good in this saree!",भाभी अच्छी लग रही हो इस साड़ी में,"Bhabhi, aapni saari acchi laga rahi ho ismein",train_error,mix_english_heavy,0.1979,,,0.0,hard_aug,low_cosine:0.20
synth-train-10130-mix_hindi_heavy,train,1,"Bhabhi, is saari mein aap acchi lga rahi ho",भाभी अच्छी लग रही हो इस साड़ी में,"Bhabhi, aapni saari acchi laga rahi ho ismein",train_error,mix_hindi_heavy,0.761,,,0.0,hard_aug,judge_unreliable
synth-train-10130-contrastive,train,0,"Bhabhi, aapni saari achhi laga rahi ho ismein, par ye acchi nahi, ye bohot acchi laga rahi hai!",भाभी अच्छी लग रही हो इस साड़ी में,"Bhabhi, aapni saari acchi laga rahi ho ismein",train_error,contrastive,0.8097,1,0.95,0.0,hard_aug,judge_mismatch:1
synth-val-1826-mix_english_heavy,train,0,Send me videos of you without clothes,भेजो बिना कपडे वाले विडियो,Send bina kapde wale video,val_error,mix_english_heavy,0.2902,,,0.0,hard_aug,low_cosine:0.29
synth-train-10210-mix_english_heavy,train,1,"These two are already hill rahi hai from before, why isn't the fun coming out?",ये दोनों आलरेडी पहले से ही हिल रही है काहे  मज़े ले रहा है,"Ye dono already pahle se hi hill rahi hai, kyon mazak nahi ban raha hai",train_error,mix_english_heavy,0.3589,,,0.0,hard_aug,low_cosine:0.36
synth-train-10031-mix_english_heavy,train,1,"After the elections, see for yourself what happens 🤕😐😐",चुनाव के बाद देखो क्या होता है 🤕😐😐,Chunav ke baad dekh lo kya hota hai 🤕😐😐,train_error,mix_english_heavy,0.085,,,0.0,hard_aug,low_cosine:0.09
synth-train-10031-mix_hindi_heavy,train,1,Chunav ke baad dekh lo kya hota hai 🤕😐😐,चुनाव के बाद देखो क्या होता है 🤕😐😐,Chunav ke baad dekh lo kya hota hai 🤕😐😐,train_error,mix_hindi_heavy,,,,0.0,hard_aug,dup_or_identity
synth-train-18870-mix_english_heavy,train,0,"You are such a f***ing idiot, you are on your own.",साला एक कमीना खुद तडिपार है,Sala ek kameena khud tadi pahar hai,train_quarantine,mix_english_heavy,,,,0.0,hard_aug,low_cosine:0.00
synth-train-18870-paraphrase,train,0,Sala ek kameena apne aap paar ho raha hai.,साला एक कमीना खुद तडिपार है,Sala ek kameena khud tadi pahar hai,train_quarantine,paraphrase,0.5477,,,0.0,hard_aug,low_cosine:0.55
synth-train-7879-mix_english_heavy,train,0,"Don't get too excited, the year has changed, but the b*tch and her family haven't changed 😂😂",ज्यादा उड़ो मत साल बदला है साली और घरवाली नहीं बदली 😂😂,"Jyada uddho mat, saal badal gaya hai, sali aur gharvali nahi badli 😂😂",train_quarantine,mix_english_heavy,0.0384,,,0.0,hard_aug,low_cosine:0.04
synth-val-5939-mix_english_heavy,train,0,This one is so hot!,हाऐ कौसी है सेक्सी,Ye koi sexy hai!,val_error,mix_english_heavy,,,,0.0,hard_aug,low_cosine:0.00
synth-val-5939-paraphrase,train,0,Ye koi sexy hai na!,हाऐ कौसी है सेक्सी,Ye koi sexy hai!,val_error,paraphrase,0.803,,,0.0,hard_aug,judge_unreliable
synth-train-7879-obfuscation,train,0,"Jyada uddho mat, s@l badl gaya h@i, s@li aur gharvali n!h! badl! 😂😂",ज्यादा उड़ो मत साल बदला है साली और घरवाली नहीं बदली 😂😂,"Jyada uddho mat, saal badal gaya hai, sali aur gharvali nahi badli 😂😂",train_quarantine,obfuscation,0.7184,1,0.9,0.0,hard_aug,judge_mismatch:1
synth-train-10897-mix_english_heavy,train,0,"This is called spitting and eating, like how those useless kids praised Modi and everything just flipped upside down.",इसको कहते है थूक कर चाटना जैसे कि निकम्मी ओलाद बालों ने मोदी की तारीफ की और हुआ सब उल्टा,"Isko kahate hain thook kar chatna, jaise ki nikamma olad wale ne Modi ki tarif ki aur hua sab ulta",train_quarantine,mix_english_heavy,0.1236,,,0.0,hard_aug,low_cosine:0.12
synth-train-10897-contrastive,train,1,"Isko kahate hain thook kar chatna, jaise ki nikamma olad wale ne Modi ki tarif ki aur hua sab sahi.",इसको कहते है थूक कर चाटना जैसे कि निकम्मी ओलाद बालों ने मोदी की तारीफ की और हुआ सब उल्टा,"Isko kahate hain thook kar chatna, jaise ki nikamma olad wale ne Modi ki tarif ki aur hua sab ulta",train_quarantine,contrastive,0.9525,0,0.9,0.0,hard_aug,judge_mismatch:0
synth-train-5409-paraphrase,train,0,"Ye wahi Owaisi hai jo apne hi choti bhai ne police hatawane ki baat ki thi, ab khud apni security manage na kar pa rhe hain.",ये वही ओवैसी है जिनके अपने ही छोटे भाई ने पुलिस हटवाने की बात की थी आज खुद अपनी सुरक्षा नही कर पा रहे हैं,"Ye wahi Owaisi hai jo apne hi chhote bhai ne police hatawane ki baat ki thi, ab khud apni security na kar pa rhe hain",train_error,paraphrase,0.9337,1,0.85,0.0,hard_aug,judge_mismatch:1
synth-train-5409-mix_english_heavy,train,0,"This is that Owaisi whose own younger brother was talking about removing the police, now he himself can't even handle his own security.",ये वही ओवैसी है जिनके अपने ही छोटे भाई ने पुलिस हटवाने की बात की थी आज खुद अपनी सुरक्षा नही कर पा रहे हैं,"Ye wahi Owaisi hai jo apne hi chhote bhai ne police hatawane ki baat ki thi, ab khud apni security na kar pa rhe hain",train_error,mix_english_heavy,0.2567,,,0.0,hard_aug,low_cosine:0.26
synth-train-11851-mix_english_heavy,train,0,So that the girl comes 😝😝😝,ताकि टट्टी आ जाये 😝😝😝,Taki tatti aaye 😝😝😝,train_quarantine,mix_english_heavy,0.1237,,,0.0,hard_aug,low_cosine:0.12
synth-train-11851-paraphrase,train,0,Takiya tatti aaye 😝😝😝,ताकि टट्टी आ जाये 😝😝😝,Taki tatti aaye 😝😝😝,train_quarantine,paraphrase,0.8645,1,0.9,0.0,hard_aug,judge_mismatch:1
synth-train-6262-mix_english_heavy,train,0,"Better than this is when she makes naked videos, that would look good 👌👌👌",ईससे अच्छा तो नंगी ही वीडियो ही बनाती तो अच्छा लगता 👌👌👌👌,Isse achcha to nangi video hi banati to achha lagta,train_quarantine,mix_english_heavy,0.0833,,,0.0,hard_aug,low_cosine:0.08
synth-train-11851-obfuscation,train,0,T.ki t@tti aaye 😝😝😝,ताकि टट्टी आ जाये 😝😝😝,Taki tatti aaye 😝😝😝,train_quarantine,obfuscation,0.6508,1,0.9,0.0,hard_aug,judge_mismatch:1
synth-train-6262-obfuscation,train,0,Isse achch@ to n@ngi v@deo hi bn@ti to @chch@ lg@ta,ईससे अच्छा तो नंगी ही वीडियो ही बनाती तो अच्छा लगता 👌👌👌👌,Isse achcha to nangi video hi banati to achha lagta,train_quarantine,obfuscation,0.5485,,,0.0,hard_aug,low_cosine:0.55
synth-train-12225-mix_english_heavy,train,1,"Why did they put wild dogs there, like, why?",Kyu waha उन्होंने जंगली कुत्ते लगा दिए है kya,Kyu waha unhone jungle ki kuttay laga diye hai kya,train_error,mix_english_heavy,,,,0.0,hard_aug,abuse_lexicon_missing
synth-train-12225-paraphrase,train,1,Kyunki waha unhone jungle ke kutte laga diye hai kya,Kyu waha उन्होंने जंगली कुत्ते लगा दिए है kya,Kyu waha unhone jungle ki kuttay laga diye hai kya,train_error,paraphrase,0.8365,0,0.85,0.0,hard_aug,judge_mismatch:0
synth-train-12225-mix_hindi_heavy,train,1,Kyu waha unhone jangley kutte laga diye hai kya,Kyu waha उन्होंने जंगली कुत्ते लगा दिए है kya,Kyu waha unhone jungle ki kuttay laga diye hai kya,train_error,mix_hindi_heavy,0.7971,0,0.85,0.0,hard_aug,judge_mismatch:0
synth-train-3219-mix_english_heavy,train,0,"These days when someone says ""I love you,"" it's just lust. Some people will definitely take offense to what I just said.",आज के टाइम में प्यार बोले तो हवस है। और कुछ लोगो को मेरी यह बात मिर्च लग जाएगा। 🤷🤷🤷🤷,"Abke time me pyar bole to hawas hai, aur kuch logo ko meri ye baat mirch lag jayega",train_error,mix_english_heavy,0.0928,,,0.0,hard_aug,low_cosine:0.09
synth-train-3219-paraphrase,train,0,"Abke din me love bolne wala to bas hawas ka hai, aur kuch logo ko meri baat mirch lag jaayega. 😤",आज के टाइम में प्यार बोले तो हवस है। और कुछ लोगो को मेरी यह बात मिर्च लग जाएगा। 🤷🤷🤷🤷,"Abke time me pyar bole to hawas hai, aur kuch logo ko meri ye baat mirch lag jayega",train_error,paraphrase,0.7239,1,0.85,0.0,hard_aug,judge_mismatch:1
synth-train-9328-mix_english_heavy,train,1,"You are laughing at yourself, mad.",तुझे खुद हंसी आ रही है पागल,Tujhe khud hansi a rahi hai pagal,train_error,mix_english_heavy,,,,0.0,hard_aug,low_cosine:0.00
synth-train-9328-paraphrase,train,1,Tujhe khud hi hansi a rhi hai pagal o.O,तुझे खुद हंसी आ रही है पागल,Tujhe khud hansi a rahi hai pagal,train_error,paraphrase,0.8567,0,0.8,0.0,hard_aug,judge_mismatch:0
synth-train-3219-obfuscation,train,0,"Abke tim3 me pyar b0l3 to hawas hai, aur kuch log0 ko meri ye baat mirch lag jay3ga",आज के टाइम में प्यार बोले तो हवस है। और कुछ लोगो को मेरी यह बात मिर्च लग जाएगा। 🤷🤷🤷🤷,"Abke time me pyar bole to hawas hai, aur kuch logo ko meri ye baat mirch lag jayega",train_error,obfuscation,0.8497,1,0.9,0.0,hard_aug,judge_mismatch:1
synth-train-13786-mix_english_heavy,train,0,"Our Indian scientists have already found the corona virus vaccine. Modi ji, when are you going to release the vaccine for the cutua virus that is even more dangerous than corona and spreading super fast in our India? #ardaar_bhaiye_left",हमारे इंडिया के सैंटिस तो करोना वायरस की वैक्सीन ढूंढ ली🤗 मोदी जी कटुआ वायरस का वैक्सिंग कब निकाल लो गे जो करोना से भी ज्यादा खतरनाक है जो बहुत ज्यादा तेजी से फैलता जा रहा है हमारे इंडिया में#🧔👈,"Hamare India ke scientists to corona virus ki vaccine dhoond lii. Modi ji, cutua virus ka vaccine kab nikal lo ge jo corona se bhi jyada khatarnak hai jo bahut jyada tezi se pahunch raha hai hamare India me. #ardaar_bhaiye_left",train_quarantine,mix_english_heavy,0.4708,,,0.0,hard_aug,low_cosine:0.47
synth-train-9328-mix_hindi_heavy,train,1,Tujhe khud hansi a rahi hai pagal.,तुझे खुद हंसी आ रही है पागल,Tujhe khud hansi a rahi hai pagal,train_error,mix_hindi_heavy,0.9578,0,0.8,0.0,hard_aug,judge_mismatch:0
synth-train-13786-contrastive,train,1,"Hamare India ke scientists to corona virus ki vaccine dhoond lii. Modi ji, cutua virus ka vaccine kab nikal lo ge jo corona se bhi jyada khatarnak hai jo bahut jyada tezi se pahunch raha hai hamare India me. #ardaar_bhaiye_left",हमारे इंडिया के सैंटिस तो करोना वायरस की वैक्सीन ढूंढ ली🤗 मोदी जी कटुआ वायरस का वैक्सिंग कब निकाल लो गे जो करोना से भी ज्यादा खतरनाक है जो बहुत ज्यादा तेजी से फैलता जा रहा है हमारे इंडिया में#🧔👈,"Hamare India ke scientists to corona virus ki vaccine dhoond lii. Modi ji, cutua virus ka vaccine kab nikal lo ge jo corona se bhi jyada khatarnak hai jo bahut jyada tezi se pahunch raha hai hamare India me. #ardaar_bhaiye_left",train_quarantine,contrastive,,,,0.0,hard_aug,dup_or_identity
synth-train-13786-paraphrase,train,0,"Modi ji, aapke scientists to corona ki vaccine le chuke hain. Cutua virus ka vaccine kyun nahi le rahe jo corona se bhi jyada dangerous hai aur humare India me jyada tezi se spread ho raha hai. #bhaiye_left",हमारे इंडिया के सैंटिस तो करोना वायरस की वैक्सीन ढूंढ ली🤗 मोदी जी कटुआ वायरस का वैक्सिंग कब निकाल लो गे जो करोना से भी ज्यादा खतरनाक है जो बहुत ज्यादा तेजी से फैलता जा रहा है हमारे इंडिया में#🧔👈,"Hamare India ke scientists to corona virus ki vaccine dhoond lii. Modi ji, cutua virus ka vaccine kab nikal lo ge jo corona se bhi jyada khatarnak hai jo bahut jyada tezi se pahunch raha hai hamare India me. #ardaar_bhaiye_left",train_quarantine,paraphrase,0.7297,1,0.8,0.0,hard_aug,judge_mismatch:1
synth-train-9963-mix_english_heavy,train,0,"Thought it was a guy, man, turned out to be a woman, hell of a bitch",हमने सोचा आदमी था जी तो औरत निकली साली,"Hume socha admi tha ji, to aurat nikali saali",train_quarantine,mix_english_heavy,0.0626,,,0.0,hard_aug,low_cosine:0.06
