row_id,split,label,pred,p_abuse,error,bucket,borderline,text,hindi_text,hindi_abuse,hinglish_abuse,score_delta
train-221,train,0,1,0.32826954,fn,benign_looking_insult,0,Budhape me pahle hi haddi nahi judti,बुढापे में हड्डी भी नहीं जुड़ती,0.1294,0.9762,-0.8468
train-233,train,1,0,0.99459237,fp,false_positive_other,0,Sexy dik rahi ho,सेक्सी दिक रही हो,0.0466,0.0334,0.0132
train-238,train,0,1,0.08775468,fn,source_label_wrong,0,10 rupaye ki Pepsi Aayar bhai sexy 😅😂,10 रुपए की पेप्सी अय्यर भाई सेक्सी 😅😂,0.0279,0.0213,0.0066
train-243,train,0,1,0.027169006,fn,source_label_wrong,0,"Ab hamari keyu aaye, ab to tum se hi maza le rahi ho ge 💔💔👏",अब हमारी कयु आये अब तो तुम स का से मजा ले रही होगी✍💔💔👏,0.0214,0.0218,-0.0004
train-254,train,1,0,0.7358487,fp,false_positive_other,0,"Abhi aap bahut chhote ho, bacche, mummy papa mana nahi karte aisi video banane ke liye. Padhai par dhyan do, abhi aapki age nahi hai, ye galat hai beta, shame karo please.",अभी बहुत छोटे हो आप बच्चे mummy Papa मना नहीं करते ऐसी वीडियो बनाने के लिए पढ़ाई पर ध्यान दो अभी आपकी age नही है ये गलत है बेटा  शर्म करो please,0.0143,0.9358,-0.9216
train-260,train,1,0,0.9851987,fp,source_label_wrong,0,"Jo bhonkti hai, India me sukon nahi hai, aazadi bhi nahi hai. Aankhen phad ke dekh lo ke halat kya hai wahan. Ab soch lo, India jaise mauj kahi nahi milegi jo khaati ho yahan ki gaati ho Pakistan ki 🤔🤔🚩🚩⚔️🔱🚩🚩",जो भोंकती है इंडिया मे सुकून आज़ादी नही है आँखें फाड़ के देख लो क्या हालात है  वहाँ   के अब सोच लो इंडिया जैसी मौज कही नहीं पाओगी जो खाती हो यहाँ की गाती हो पाकिस्तान की 🤔🤔🚩🚩⚔️🔱🚩🚩,0.9954,0.9894,0.006
train-282,train,1,0,0.9190942,fp,false_positive_other,0,Kunsa band? Kaisa band? Aise fake political andolanwale logo ke kahne par main apne shirt ke button bhi nahi band karta 😠,कौन सा बन्द? कैसा बन्द? ऐसे फर्जी राजनीतिक आंदोलनकारियों के कहने पर मैं तो अपने शर्ट के बटन तक न बन्द करूँ😠,0.0168,0.9903,-0.9734
train-333,train,0,1,0.075823955,fn,source_label_wrong,0,R kya tumne to Shridevi bhi fail kar diya,R क्या तुमने तो श्रीदेवी भी फेल कर दी,0.0327,0.9621,-0.9294
train-349,train,1,0,0.96397436,fp,false_positive_other,0,Aapka ye bayaan bilkul galat hai 99% cases fake hai,आपका ये बयान बिलकुल गलत है 99% केस फर्जी है,0.0097,0.9862,-0.9765
train-353,train,1,0,0.98996836,fp,false_positive_other,0,"100 crore chor ke ghar bhasa lete, tekoay","100,कोटी,चोरुन,घरी बसा लेत,तेकाय",0.0047,0.8629,-0.8581
train-354,train,0,1,0.2695464,fn,benign_looking_insult,0,"Indian Army Kashmir ki aisii thand mein, jahan par hamesha barf ki baarish hoti hai, us barf mein hamare army 24 ghanta duty karte hain. Hamare Indian Army ko maut se darr nahi lagta, unhe thand se bhi darr nahi lagta. Lekin hamare Narendra Modi ko apne he desh mein darr lagta hai. Jo insaan Bharat mein darr lagta hai, vo Pakistan chala jaye. Ab Modi ko kya karna chahiye? Hamare kisan jo thand, garmi, barsaat mein ek saal tak road par andolan karte rehaye, unhe darr nahi laga. Lekin 20 minute Narendra Modi ki jaan kya laga, unhe darr lag gaya. Kaaror, darpok, budhil, Narendra Modi.","इंडियन आर्मी कश्मीर की ऐसी ठंड में, जहां पर हमेशा बर्फ की बारिश होती है, उस बर्फ में हमारे आर्मी 24 घंटा ड्यूटी करते हैं, ,, हमारे इंडियन आर्मी को मौत से डर नहीं लगता उन्हें ठंड से डर नहीं लगता है,    लेकिन हमारे नरेंद्र मोदी को अपने ही देश में डर लगता है🤔 जिसे भारत में डर लगता है वह पाकिस्तान चला जाए अब मोदी को क्या करना चाहिए😀😃🤔 हमारे किसान जो ठंड में गर्मी में बरसात में 1 साल तक रोड पर आंदोलन करते रहे, उसे डर नहीं लगा लेकिन 20 मिनट नरेंद्र मोदी की जान क्या लग गया उसे डर लग गया , कायर , डरपोक , बुजदिल , नरेंद्र मोदी,",0.0432,0.9097,-0.8664
train-386,train,1,0,0.9800412,fp,source_label_wrong,0,Kutta ne bandar ke bacche ko mar dalua toh sabhi vanarsenane meeting bulai aur usme khun ka badla khun sab kahne lage toh mukhiya vanar ne kahya ab din ho ya raat bas kutto ko chun chun kar marne hai tab se ye tapori gang ke beech me gangwar jarri hai...,कुत्ते ने बंदर के बच्चे को मार डाला तो सारी वानरसेनाने मीटींग बुलाइ और उसमे खून का बदला खून सब कहने लगे तो मुखिया वानर ने कहाँ अब दिन हो या रात बस कुत्तो को चुन चुनकर मारना है तब से ये टपोरी गेंग के बीच मे गेंगवोर जारी है....,0.9815,0.9974,-0.016
train-393,train,1,0,0.99507385,fp,obfuscation,0,"Tum amma se bola dena, baccho logon Ramphal ke jhad phelte hain, amma thodi si chutwana dena bol dena",तुम अम्मा से बोला देना बच्चे लोगों रामफल के झाड़ खेलते हैं अम्मा थोड़ी सी छटवा देना बोल देना,0.0882,0.9992,-0.9111
train-419,train,0,1,0.024537338,fn,source_label_wrong,0,"Meri jholi chhoti pad gayi re, itna diya meri maa ka",मेरी झोली छोटी पढ़ गई रे इतना दिया मेरी माँ का,0.0089,0.3642,-0.3553
train-420,train,0,1,0.381873,fn,benign_looking_insult,0,"Rape, sexual harassment, eve teasing, tight clothes pahana, sab kuch hota hai. Bollywood mein.","रेप बलात्कार छेड़छाड़  अधनंगे कपड़े पहनना, ये सब भी होता है। बॉलीवुड में।",0.9946,0.96,0.0347
train-438,train,0,1,0.22638658,fn,sarcasm,0,"Badega babu ki baday badtay, kya fark pata hai 😂",बिगड़े बाप की बिगड़ी औलाद है क्या फर्क़ पड़ता है 😂,0.9977,0.9536,0.044
train-453,train,0,1,0.020559864,fn,source_label_wrong,0,"Sahi kaha bhai, mujhe to call girl lag rahi hai",सही कहा भाई मुझे तो call girl लग रही हैं,0.073,0.0055,0.0676
train-462,train,1,0,0.83576286,fp,obfuscation,0,Ek gaon me bijli aane wali thi... log khush hone se nache lage! Ek kutta bhi nache laga...! Kisi ne pucha: tu kyun naach raha hai...? Kutta bola: kambey to lagenge bhi yaar 😜😂,एक गाँव में बिजली आनी थी... लोग खुश होकर नाच रहे थे! एक कुत्ता भी नाचने लगा..!  किसी ने पूछा: तू क्यूँ नाच रहा है...? कुत्ता बोला: खंबे भी तो लगेंगे🤓🤓😂🤓🤓,0.0187,0.9908,-0.9722
train-470,train,1,0,0.6965574,fp,false_positive_other,0,"Asmaan jitna neela hai, surajmukhi jitna peela hai, paani jitna gila hai, aapka screw utna hi loose hai. 😄😄😃🙈🙈😍😍","आसमान जितना नीला है, सूरजमुखी जितना पीला है, पानी जितना गीला है, आपका स्क्रू उतना ही ढीला है।😀😀😃🙊🙈🙈😍😍😍",0.9279,0.0462,0.8817
train-476,train,0,1,0.17878987,fn,benign_looking_insult,0,Tab to pakkay bhikh mangoge ab,तब तो पक्का भीख मांगोगे अब,0.9859,0.9643,0.0216
train-491,train,1,0,0.52856,fp,false_positive_other,1,"Ab na shikwa na gila, na koi malaal raha sitam unke bhi be-misal raha, sabr apna bhi kamal raha",अब ना शिकवा ना गिला     न कोई मलाल रहा सितम उनके भी बेमिसाल रहे  सब्र अपना भी कमाल रहा,0.0097,0.0205,-0.0108
train-499,train,0,1,0.2921412,fn,obfuscation,0,Is MC ko Assa-Ram jaisa pati chahiye,इस mc को   आसाराम जैसा पति चाहिये,0.9982,0.9513,0.0469
train-504,train,1,0,0.993793,fp,obfuscation,0,Gandey paani meh naha ke to khujli ho jayega,खुजली हो जाएगा गंदा पानी में नहाने से,0.0205,0.6558,-0.6353
train-520,train,1,0,0.5328658,fp,sarcasm,1,"Jis hotel me saree peke bina jana nahi hai waha bharatiya khana bane se roko, jab saree nahi pehne se nahi a sakte to bharatiya taste bhi nahi banane denge. Or bharatiya logo ko koi mat jana hotel dekho kitna band hota hai 🤣🤣 Or hotel walo ko bolenge angreji kapde pehne or jisne is hotel me bharatiya kapde pehne ko bola hai usko bolenge jake jahan angrej rehte hai waha bade hotel ko band karo.",जिस होटल मे साड़ी पहन कर  नहीं जाना है वहा भारतीय  खाना बने से रोको बोलो ज़ब साड़ी  पहन कर नहीं आ सकते तो भारतीय टिस भी नहीं बनाने देंगे और भारतीय  लोगो भी कोई मत जाना होटल देखो कैसे बंद होता है 🤣🤣और होटल वालों को बोलो अंग्रेजी कपड़े पहनो और जिसने इस होटल मे भारतीय कपडे पहने को बोला है उसे कहो जा कर जहाँ अंग्रेज रहते है वहा बड़ा होटल ये बंद कर,0.0219,0.0321,-0.0102
train-540,train,0,1,0.041890424,fn,benign_looking_insult,0,(•‿•) :- Saza ban jaati hai :-) Gujaraye hue wakt ki nishanien nahi jaan ke kyun (kuch wakt ke liye meherbaan hote hai log (•‿•) (●♡∀♡) 😦😦🤔🤔,(•‿•) :-सजा बन जाती है          :-) गुजरे हुए वक़्त की निशानियां   न जाने क्यूं             ( कुछ वक़्त के लिए  मेहरबां होते है लोग(•‿•)   (●♡∀♡) 😦😦🤔🤔,0.9985,0.9988,-0.0003
train-553,train,1,0,0.6709203,fp,caste_religious,0,"Nahi gunda raj, nahi corruption, pura majority ke BJP sarkar",न गुंडा राज न भ्रष्टाचार पूर्ण बहुमत की भाजपा सरकार,0.0096,0.9979,-0.9883
train-558,train,1,0,0.9946396,fp,false_positive_other,0,Sharam a gayi kya?,शरमा गई का,0.0151,0.816,-0.801
train-579,train,0,1,0.3595496,fn,benign_looking_insult,0,"Tum bhowkte rehho, aayega toh Modi he",तुम भौंकते रहो  आयेगा तो  मोदी ही,0.9989,0.9904,0.0085
train-609,train,1,0,0.9314921,fp,false_positive_other,0,"School band hai, but darru ki dukaan khuli hai, desh terki kar raha hai, bacche anpadh ho raha hai",स्कूल बंद है दारू की दुकान खुली है देश तरकी कर रहा है बच्चे अनपढ़ हो रहे,0.7044,0.0315,0.6729
train-611,train,1,0,0.6544868,fp,false_positive_other,0,"Bacche se kabhie joke na karo, bacche ko gussa a jata hai",बच्चे से कभी मजाक नहीं करना चाहिए बच्चे को गुस्सा आ जाता है,0.0177,0.0205,-0.0028
train-638,train,1,0,0.8695654,fp,false_positive_other,0,Un logo ne jnan arjit ki ye to desh vikreta hai. Vaise bhi aapko batadu ghar nahi chhoda chudaya gaya tha,उन लोंगो ज्ञान अर्जित की ये तो देश विक्रेता है । वैसे भी आपको बता दु घर नही छोड़ा छुड़ाया गया था,0.008,0.033,-0.025
train-647,train,0,1,0.2659231,fn,benign_looking_insult,0,"Jab Shri Ram Janmabhoomi ka faisla Supreme Court me latka hua tha tab to ek baar bhi Ayodhya nahi gaye, to ab ye naatak kyun. 😏😏","जब श्री रामजन्मभूमि का फैसला सुप्रीम कोर्ट में लटका हुआ था तब तो एक बार भी अयोध्या नहीं गये, तो अब ये नौटंकी क्यों। 😏😏",0.9823,0.9591,0.0232
train-666,train,0,1,0.036695838,fn,source_label_wrong,0,Itna bada toh bahut chhota hai aur bada hona chahiye,इतना बड़ा तो बहुत छोटा है और बड़ा होना चाहिए,0.0947,0.0366,0.0581
train-689,train,1,0,0.97279775,fp,source_label_wrong,0,Bhagwan tere dhande ko aur badhaye,भगवान तेरे धंधे को और बढ़ाएं,0.97,0.0054,0.9646
train-694,train,1,0,0.5891348,fp,false_positive_other,1,Pahle gane ko fir ek expression ke saath video banao,पहले गाने को फिर एक एक्सप्रेशन के साथ वीडियो banao,0.0075,0.0269,-0.0194
train-729,train,1,0,0.9309205,fp,false_positive_other,0,"Tension mat le Pakistan ki kutte, sher ghaayal hua hai aur ghaayal sher bahut khateranak hota hai King kohali",टेंशन मत ले पाकिस्तानी कुत्ते शेर घायल हुआ है और घायल शेर बहुत खतरनाक होता है King kohali,0.0239,0.2622,-0.2383
train-736,train,1,0,0.74720156,fp,false_positive_other,0,Aapke hone wala dekho toh bohot maza aata hai,आपके होंठ देखने में बहुत मजा आता है,0.009,0.9846,-0.9755
train-741,train,1,0,0.9637384,fp,source_label_wrong,0,"Dekh te hi reh gaye Saniya ke sasural wale, final me pahuch gaya Dhawan ke saale 😎😎😂😂","देख ते ही रह गए सानिया के ससुराल वाले ,फाइनल में पहुंच गए धवन के साले 😎😎😂😂",0.9678,0.9737,-0.0059
train-757,train,1,0,0.8037777,fp,false_positive_other,0,Kya sexy dikh raha hai jaanu,काय सेक्सी दिसतेस जानु,0.0415,0.5374,-0.4959
train-822,train,1,0,0.9907607,fp,false_positive_other,0,Ye drunkard wala gadi chalate hoga.,शराब पीकर गाड़ी चलाते होगे।,0.0065,0.9958,-0.9892
train-930,train,0,1,0.017398158,fn,benign_looking_insult,0,"Ye sahi baat hai, yeh harakatein tobi hoti hai jab mamma ghar par nahi hai 😜😜😜😜",सही बात है ये हरकते तभी होती है जब मम्मा घर पर nhi हो 😜😜😜😜,0.9667,0.9873,-0.0206
train-972,train,0,1,0.09052331,fn,source_label_wrong,0,Itta jhoot bhi kahi chalta kya......hamare dil par kya beet rahi hogi ye tumhare baate sunker......😥,इत्ता झूट भी कही चलता क्या......हमारे दिल पर क्या बीत रही होगी ये तुम्हारी बाते सुनकर......😥,0.0123,0.0202,-0.008
train-1179,train,0,1,0.29733044,fn,sarcasm,0,"Kanto bhare raaste pe koi aapka saath dega...?😜😜😜😜 Pati/patni, bhai/bahan, premee/dost - ji nahin yaad rakhna... Ekmatra aapki chappal saath degi...! Har baar emotional hone ki zaroorat nahin, kabhi practically bhi socha karo!! 😂😂😂😂😂😂","कांटो भरे रास्ते पे कौन आपका साथ देगा...?😜😜😜😜 पति / पत्नी  भाई / बहन  प्रेमी / दोस्त - जी नहीं याद रखना.. एकमात्र आपकी चप्पल साथ देगी...! हर बार emotional होने की जरूरत नही, कभी Practically भी सोचा करो !! 😂😂😂😂😂😂",0.9821,0.8503,0.1318
train-1342,train,1,0,0.9812237,fp,obfuscation,0,"Ek baar aake dekha, saath land kitna bada rhta hai, tera ko maza aa jata daru peekar.",एक बार आकर देख साथ लैंड कितना बड़ा रहता है तेरे को मजा आ जाता दारू पीकर,0.6091,0.2697,0.3394
train-1419,train,1,0,0.67268604,fp,sarcasm,0,Punha video duet kela...banav...te porega nus tanche dole pusatya na paani na bhaav...abhinay...neet paha re bhaavano,पण हा विडीयो डुएट केलाय .....बनाव.....ते पोरगं नुसतंच डोळे पुसतंय ना पानी ना भाव...अभिनय...नीट पहा रे भावांनो,0.0152,0.9741,-0.9589
train-1451,train,0,1,0.3476679,fn,benign_looking_insult,0,"Ye jo tum kar rahe ho, ham log 10 saal pehle karke chhod diya.",यह जो तुम कर रहे हो हम लोग 10 साल पहले करके छोड़ दिया,0.0235,0.9813,-0.9577
train-1583,train,0,1,0.2512328,fn,benign_looking_insult,0,"Take it slow slow, le le pani mein!",पानी में ले ले जरा धीरे धीरे से लेना,0.9141,0.8726,0.0415
train-1663,train,0,1,0.027846038,fn,source_label_wrong,0,"Kisi ki chahat pe zinda rehne wale hum na the; kisi par mar mitne wale hum na the; adat si pad gayi, tumhe yad karne ki; varna kisi ko yad karne wale hum na the. Kisi ki chahat pe zinda rehne wale hum na the; kisi par mar mitne wale hum na the; adat si pad gayi, tumhe yad karne ki; varna kisi ko yad karne wale hum na the.","किसी की चाहत पे ज़िंदा रहने वाले हम ना थे; किसी पर मर मिटने वाले हम ना थे; आदत सी पड़ गयी, तुम्हे याद करने की; वरना किसी को याद करने वाले हम ना थे.किसी की चाहत पे ज़िंदा रहने वाले हम ना थे; किसी पर मर मिटने वाले हम ना थे; आदत सी पड़ गयी, तुम्हे याद करने की; वरना किसी को याद करने वाले हम ना थे.",0.028,0.978,-0.95
train-1750,train,0,1,0.38754627,fn,benign_looking_insult,0,"Snake ko kitna bhi doodh pilaa do, dusanaa nahi chhoda, yahi hai hal in mahaa-gathbandhan walo ka hai. Jay Shri Ram 🚩🚩",सांप को कितना भी दूध पिला दो डसना नहीं छोड़ता यही हाल इन महागठजोड़ वालों का है। जय श्रीराम🚩🚩,0.9985,0.9632,0.0353
train-1839,train,1,0,0.9195485,fp,obfuscation,0,"Ye soch-samaji chaalbaazi hai, koi rail ki patti mein kutte ko kyun band karega, aur koi jab bachane jaayege to phir an waqt par koi video kaise suit kar lega.","ये सोची-समझी चालबाजी है, कोई रेल की पटरी में कुत्ते को क्यों बांधेगा,और कोई जब बचाने जायेगा तभी ऐन वक्त पर कोई विडियो कैसे सूट कर लेगा।",0.441,0.9875,-0.5466
train-1882,train,0,1,0.069867894,fn,source_label_wrong,0,"Main to pagal hoon, to bolti rehti hoon, tumhara man hota tabhi tum jawab dete ho.",मैं तो पागल हूं तो बोलती रहती हूं तुम्हारा मन होता तभी तुम जवाब देते हो,0.0315,0.013,0.0185
train-1986,train,1,0,0.8530641,fp,false_positive_other,0,"She toh khud kar leti hai, hum thodi bolte the karne ke liye.",वह तो खुद कर लेती हैं हम थोड़ी बोले थे करने के लिए,0.0114,0.9532,-0.9417
train-2047,train,1,0,0.7067897,fp,false_positive_other,0,Kitne baar China ko chod diya,चीन को कीत़नी बार छोड़ा,0.0188,0.999,-0.9802
train-2243,train,0,1,0.3311211,fn,benign_looking_insult,0,"Namaste app ki size kya hai, niche aur upar ka?",नमस्ते app ki size  kya hai नीचे और ऊपर का,0.9844,0.9873,-0.0028
train-2290,train,1,0,0.63530517,fp,false_positive_other,0,Orangabad la kuch nahi kar raha,औरंगाबाद ला काय काम करता,0.005,0.9971,-0.9921
train-2373,train,1,0,0.62229294,fp,false_positive_other,0,Gadi wale ko pakadne ka tha,गाडी वाले को पकड ने का था,0.0116,0.9761,-0.9645
train-2456,train,0,1,0.011245738,fn,benign_looking_insult,0,Aapki shaadi hui kya nahi.,आपकि शादी हूवि कय नहि,0.9738,0.9827,-0.0089
train-2495,train,0,1,0.112214975,fn,benign_looking_insult,0,Gulaabo ko injury kaise lag gayi... kya koi responsibility nahi hai? 🐰,🙄गुलाबो को चोट कैसे लग गयी🤔....🐰,0.9959,0.9967,-0.0008
train-2529,train,1,0,0.93392026,fp,obfuscation,0,Chhota wala ped narial ka DJ doggi kutta ka bachcha baitha hai.,छोटा वाला पेड़ नारियल का डीजे डॉगी कुत्ता का बच्चा बैठा है,0.0157,0.9782,-0.9625
train-2555,train,0,1,0.2729287,fn,benign_looking_insult,0,"Ye peed RBI se paani leta hai, zhandu!",ये पेड़ rbi से पानी लेता है झंडू,0.0611,0.0101,0.051
train-2651,train,0,1,0.014744191,fn,source_label_wrong,0,"We're going later to talk, going to the washroom to take a bath, also need to worship, need to bring a little stuff from market for friend's home.",हम बाद में बात करते हैं वॉशरूम में नहाने जा रहे हैं पूजा भी करनी है  थोड़ा सामान लाना है मार्केट से   फ्रेंड के घर के लिए,0.0317,0.0056,0.0262
train-2725,train,1,0,0.9423762,fp,sarcasm,0,Dekho bhakto! TV mat tod dena kal ke gussay mein!!! Todna hai to radio tod. Saste bhi hain aur man ki baat bhi karte hain. 😂😂😂😂,देखो भक्तो! कल के गुस्से में TV मत तोड़ देना !!!   तोड़ना है तो रेडियो तोड़ो। सस्ते भी हैं और मन की बात भी करते हैं। 😂😂😂😂,0.0162,0.0129,0.0033
train-2741,train,0,1,0.14825204,fn,source_label_wrong,0,Then only ocean mein paani ki kami nahi hoti kyunki koi kuch nahi kar raha hai,तभी तो समंदर में पानी की कमी नहीं होती क्योंकि आंसू बहा रहा है कोई,0.0151,0.9788,-0.9637
train-2825,train,1,0,0.98679465,fp,source_label_wrong,0,"Ab tum yahan apni dukaan khul ke baith gaya, is dukh ki ghadi mein apada ko aasar mein badal rahe ho, sharam karo 9 logon ki maut huyi hai.","अब तुम यहां अपनी दुकान खोल कर बैठ गया, इस दुख़ की घड़ी में आपदा को औसर में बदल रहे हो , शर्म करो 9 लोगो की मौत हुई हैं। ओम् शान्ति ओम्",0.9816,0.9768,0.0048
train-2918,train,1,0,0.9225622,fp,source_label_wrong,0,"Ye Tik Tok par nangi nach karne wali ko ye sab baate kaise samajh mein aayega, Jay Shri Krishna, Radhe Radhe.",टीक टॉक पर नंगी नाच करने वाली को ये सब बाते कैसे समझ मे आयेगी।  जय श्री कृष्णा । राधे राधे।,0.9667,0.9817,-0.015
train-3045,train,0,1,0.013840043,fn,source_label_wrong,0,"When your blood relatives themselves don't spare you, then what's the fate of those who are related to your heart.",जब आप के खून के रिश्तेदार मच्छरों भी नही छोड़ते। तो बेचारे दिल के रिश्तेदारों की क्या बिसात,0.0496,0.009,0.0406
train-3087,train,0,1,0.009305413,fn,source_label_wrong,0,Here is the rewritten Hinglish line:,🌹🙏🌹🎂 जय हो बाबा रामदेव रूणेचा रा सरकार 🎂🌹🙏🌹,0.0043,0.0092,-0.0049
train-3136,train,1,0,0.97283053,fp,source_label_wrong,0,"Kisi ke ma baap galat sanskaar nahi dete jaise umar badhti hai, vaise hum badalte hai aur kapde ka dosh nahi hai ya us ladki ka bhi dosh nahi hai, insaan ki soch hi ghatiya ho gayi hai.",कीसीके मा बाप गलत संस्कार नहीं देते जैसे उमर बढती है वैसे हम बदलते है और कपडो का दोष नहीं है या उस लडकी का भी दोष नहीं है इंसान की सोच ही घटीया हो गयी है,0.9787,0.9657,0.013
train-3184,train,0,1,0.021961514,fn,source_label_wrong,0,Bro Ramdev Baba ki chela hai kya?,भाई रामदेव बाबा की चेली है क्या,0.0328,0.975,-0.9422
train-3213,train,1,0,0.92891586,fp,false_positive_other,0,"Pagal mat banao, so jao ok ji bye",पागल मत बनाओ सो जाओ ओके जी बाय,0.1737,0.0086,0.165
train-3240,train,1,0,0.9309565,fp,source_label_wrong,0,"Mujhe lagta hai ki BJP ka koi aadmi Nihang ke roop mein kisan andolan ko badnaam karne ke liye aisa karta hai, meaning Nihang BJP se milkar saanth gaanth kar aisa anjaam de raha hai, taki kisan andolan badnaam ho jaye.",मुझे लगता है कि भाजपा का कोई आदमी निहंग के रूप में किसान आंदोलन को बदनाम करने के लिए ऐसा कर रहा है मतलब निहंग भाजपा से मिलकर सांठगांठ कर ऐसा अंजाम दे रहा है ताकि किसान आंदोलन बदनाम हो जाए,0.985,0.0196,0.9653
train-3268,train,0,1,0.4477896,fn,benign_looking_insult,1,Sarman nahi aayi. Ha tujhe sarman nahi aayi,सरम नहीं आई।  हा तुझे सरम नहीं आई,0.9983,0.9569,0.0413
train-3292,train,1,0,0.9289798,fp,false_positive_other,0,Ye dekhte wale to kafi log aapko dekhe rahe hain,देखने वाले तो काफी लोग आपको देख रहे हैं,0.0063,0.9827,-0.9764
train-3296,train,0,1,0.046717003,fn,source_label_wrong,0,"How to reduce or increase weight, ask me how: 👉 <number>",वजन घटाएं या बढ़ाएं पूछिए कैसे:  👉  <number> ,0.018,0.0131,0.0048
train-3623,train,0,1,0.059698768,fn,source_label_wrong,0,Mast saman hai yaar,मस्त समान है यार,0.0338,0.1158,-0.082
train-3626,train,1,0,0.53081024,fp,sarcasm,1,Chappal choti ho jaaye to paon mein nahi aati; wah wah! Chappal choti ho jaaye to paon mein nahi aati; aur girlfriend moti ho jaaye to baahon mein nahi aati. 😜😜😜,चप्पल छोटी हो जाए तो पाँव में नहीं आती; वाह वाह! चप्पल छोटी हो जाए तो पाँव में नहीं आती; और गर्लफ्रेंड मोटी हो जाए तो बाहों में नहीं आती।😜😜😜,0.0284,0.9988,-0.9705
train-3704,train,1,0,0.98478806,fp,false_positive_other,0,"Maida ke khurma khana ho to de do, garma hai abhi.",मैदा के खुरमा खाना हो तो दे दो गरम है अभी,0.0125,0.0569,-0.0443
